frameIndex;frameTime;pcm_LOGenergy
0;0.000000;-8.081638e+00
1;0.010000;-6.425075e+00
2;0.020000;-5.671417e+00
3;0.030000;-5.303698e+00
4;0.040000;-5.317539e+00
5;0.050000;-5.730607e+00
6;0.060000;-6.929506e+00
7;0.070000;-8.392733e+00
8;0.080000;-8.469454e+00
9;0.090000;-8.277737e+00
10;0.100000;-7.901902e+00
11;0.110000;-7.700438e+00
12;0.120000;-7.721320e+00
13;0.130000;-7.619827e+00
14;0.140000;-7.058457e+00
15;0.150000;-6.934913e+00
16;0.160000;-7.389762e+00
17;0.170000;-8.620553e+00
18;0.180000;-9.093036e+00
19;0.190000;-9.069883e+00
20;0.200000;-8.150579e+00
21;0.210000;-6.972412e+00
22;0.220000;-6.476820e+00
23;0.230000;-6.264937e+00
24;0.240000;-6.472254e+00
25;0.250000;-6.733407e+00
26;0.260000;-6.709322e+00
27;0.270000;-6.716784e+00
28;0.280000;-6.814714e+00
29;0.290000;-7.220572e+00
30;0.300000;-8.010440e+00
31;0.310000;-8.502741e+00
32;0.320000;-8.934735e+00
33;0.330000;-9.242358e+00
34;0.340000;-1.021237e+01
35;0.350000;-1.038779e+01
36;0.360000;-9.397079e+00
37;0.370000;-9.058302e+00
38;0.380000;-9.041278e+00
39;0.390000;-7.751103e+00
40;0.400000;-6.354052e+00
41;0.410000;-5.787041e+00
42;0.420000;-5.676249e+00
43;0.430000;-6.180409e+00
44;0.440000;-7.066413e+00
45;0.450000;-8.375409e+00
46;0.460000;-8.783653e+00
47;0.470000;-8.747551e+00
48;0.480000;-8.528239e+00
49;0.490000;-8.781040e+00
50;0.500000;-8.837776e+00
51;0.510000;-7.699441e+00
52;0.520000;-7.448496e+00
53;0.530000;-7.692762e+00
54;0.540000;-8.747652e+00
55;0.550000;-9.352778e+00
56;0.560000;-9.575871e+00
57;0.570000;-9.251577e+00
58;0.580000;-9.050933e+00
59;0.590000;-8.924434e+00
60;0.600000;-8.723264e+00
61;0.610000;-8.506284e+00
62;0.620000;-8.602970e+00
63;0.630000;-8.734019e+00
64;0.640000;-6.728634e+00
65;0.650000;-5.872857e+00
66;0.660000;-5.578454e+00
67;0.670000;-5.905614e+00
68;0.680000;-6.385786e+00
69;0.690000;-6.199176e+00
70;0.700000;-6.345028e+00
71;0.710000;-6.491776e+00
72;0.720000;-6.771315e+00
73;0.730000;-7.224332e+00
74;0.740000;-8.233644e+00
75;0.750000;-8.413455e+00
76;0.760000;-8.561022e+00
77;0.770000;-8.529087e+00
78;0.780000;-8.313204e+00
79;0.790000;-8.137220e+00
80;0.800000;-8.115009e+00
81;0.810000;-7.556196e+00
82;0.820000;-7.120868e+00
83;0.830000;-6.879588e+00
84;0.840000;-6.787656e+00
85;0.850000;-6.745341e+00
86;0.860000;-6.824674e+00
87;0.870000;-6.742504e+00
