frameIndex;frameTime;pcm_RMSenergy;pcm_LOGenergy
0;0.000000;1.758306e-02;-8.081638e+00
1;0.010000;4.025435e-02;-6.425075e+00
2;0.020000;5.867694e-02;-5.671417e+00
3;0.030000;7.052071e-02;-5.303698e+00
4;0.040000;7.003433e-02;-5.317539e+00
5;0.050000;5.696584e-02;-5.730607e+00
6;0.060000;3.128073e-02;-6.929506e+00
7;0.070000;1.505016e-02;-8.392733e+00
8;0.080000;1.448376e-02;-8.469454e+00
9;0.090000;1.594088e-02;-8.277737e+00
10;0.100000;1.923640e-02;-7.901902e+00
11;0.110000;2.127507e-02;-7.700438e+00
12;0.120000;2.105410e-02;-7.721320e+00
13;0.130000;2.215010e-02;-7.619827e+00
14;0.140000;2.932753e-02;-7.058457e+00
15;0.150000;3.119627e-02;-6.934913e+00
16;0.160000;2.485041e-02;-7.389762e+00
17;0.170000;1.342984e-02;-8.620553e+00
18;0.180000;1.060407e-02;-9.093036e+00
19;0.190000;1.072753e-02;-9.069883e+00
20;0.200000;1.698729e-02;-8.150579e+00
21;0.210000;3.061682e-02;-6.972412e+00
22;0.220000;3.922621e-02;-6.476820e+00
23;0.230000;4.361001e-02;-6.264937e+00
24;0.240000;3.931588e-02;-6.472254e+00
25;0.250000;3.450320e-02;-6.733407e+00
26;0.260000;3.492121e-02;-6.709322e+00
27;0.270000;3.479117e-02;-6.716784e+00
28;0.280000;3.312864e-02;-6.814714e+00
29;0.290000;2.704412e-02;-7.220572e+00
30;0.300000;1.822028e-02;-8.010440e+00
31;0.310000;1.424470e-02;-8.502741e+00
32;0.320000;1.147749e-02;-8.934735e+00
33;0.330000;9.841186e-03;-9.242358e+00
34;0.340000;6.059158e-03;-1.021237e+01
35;0.350000;5.550351e-03;-1.038779e+01
36;0.360000;9.108572e-03;-9.397079e+00
37;0.370000;1.078983e-02;-9.058302e+00
38;0.380000;1.088207e-02;-9.041278e+00
39;0.390000;2.074289e-02;-7.751103e+00
40;0.400000;4.170952e-02;-6.354052e+00
41;0.410000;5.538091e-02;-5.787041e+00
42;0.420000;5.853534e-02;-5.676249e+00
43;0.430000;4.549265e-02;-6.180409e+00
44;0.440000;2.921110e-02;-7.066413e+00
45;0.450000;1.518109e-02;-8.375409e+00
46;0.460000;1.237810e-02;-8.783653e+00
47;0.470000;1.260357e-02;-8.747551e+00
48;0.480000;1.406424e-02;-8.528239e+00
49;0.490000;1.239428e-02;-8.781040e+00
50;0.500000;1.204762e-02;-8.837776e+00
51;0.510000;2.128568e-02;-7.699441e+00
52;0.520000;2.413124e-02;-7.448496e+00
53;0.530000;2.135688e-02;-7.692762e+00
54;0.540000;1.260293e-02;-8.747652e+00
55;0.550000;9.312580e-03;-9.352778e+00
56;0.560000;8.329639e-03;-9.575871e+00
57;0.570000;9.795925e-03;-9.251577e+00
58;0.580000;1.082966e-02;-9.050933e+00
59;0.590000;1.153676e-02;-8.924434e+00
60;0.600000;1.275755e-02;-8.723264e+00
61;0.610000;1.421949e-02;-8.506284e+00
62;0.620000;1.354842e-02;-8.602970e+00
63;0.630000;1.268913e-02;-8.734019e+00
64;0.640000;3.458562e-02;-6.728634e+00
65;0.650000;5.305488e-02;-5.872857e+00
66;0.660000;6.146873e-02;-5.578454e+00
67;0.670000;5.219298e-02;-5.905614e+00
