@RELATION models/SVM_aaaaaaaa
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {anger,happyness,neutral,sadness}

@DATA
0.053637,0.027278,2.770504,0.105123,0.131350,0.340821,0.003334,0.073862,-24.277800,0.018679,-2.079866,-0.799658,-0.248579,-0.024324,0.234853,0.010426,0.124779,-0.304270,0.113796,0.002276,0.071542,0.003613,0.003311,0.007253,0.013520,0.013040,0.012642,0.011447,0.002349,0.006883,0.004853,0.004011,0.004990,0.011615,0.020649,0.032477,0.408692,0.020569,0.032666,0.258204,0.002288,0.038712,1.422860,1.030225,0.623243,0.553268,0.433246,0.558058,0.518809,0.551872,0.475650,0.466909,0.468667,0.284870,0.313644,0.004508,0.005255,0.011403,0.019782,0.018032,0.016216,0.022983,0.002622,0.013090,0.009994,0.005420,0.006279,0.007015,anger
0.049467,0.019939,2.685078,0.114673,0.150452,0.318076,0.002866,0.067985,-26.547269,1.143119,-1.064057,-0.114985,-0.432292,-0.035972,-0.183244,-0.285872,-0.597581,-0.164321,-0.205680,0.165583,0.147716,0.003751,0.005065,0.009494,0.017786,0.016853,0.019676,0.013296,0.011157,0.010631,0.003814,0.003937,0.005247,0.013873,0.015589,0.030438,0.452436,0.025014,0.032289,0.190560,0.001937,0.021853,2.956763,0.712421,0.766607,0.405719,0.466544,0.400870,0.404693,0.293086,0.307641,0.460932,0.327262,0.321649,0.336953,0.003059,0.006183,0.014187,0.023510,0.014636,0.021096,0.017265,0.011574,0.015618,0.004118,0.003899,0.006923,0.007886,anger
0.050109,0.006096,2.651111,0.111112,0.162204,0.255392,0.003726,0.066065,-28.724591,2.201139,-0.751838,-0.207490,-0.242524,-0.002493,-0.104692,-0.286103,-0.356113,-0.080252,-0.191896,0.012193,0.036504,0.008252,0.009833,0.012654,0.017383,0.030441,0.014176,0.010676,0.010396,0.009693,0.008540,0.008407,0.009650,0.015044,0.042652,0.010339,0.499124,0.045229,0.039776,0.372095,0.002235,0.071684,3.433308,0.900909,0.606045,0.580363,0.395331,0.466398,0.246944,0.250150,0.297416,0.364468,0.226295,0.233398,0.282861,0.010278,0.013920,0.016202,0.026637,0.034391,0.011486,0.007216,0.008222,0.009648,0.009954,0.013812,0.010478,0.009765,anger
0.042642,0.010336,2.648572,0.103143,0.145384,0.205191,0.003513,0.056886,-26.097837,1.542963,-1.316892,-0.463464,-0.410215,-0.398428,-0.035091,-0.145730,-0.424881,-0.058491,-0.288570,-0.050323,-0.008599,0.008046,0.005500,0.019745,0.021184,0.015353,0.010624,0.006762,0.005703,0.004287,0.007391,0.009475,0.007832,0.014941,0.020963,0.016140,0.488417,0.027094,0.035760,0.177018,0.002253,0.022049,2.779130,1.029730,1.126217,0.426521,0.455700,0.433730,0.484690,0.355721,0.602643,0.575311,0.433576,0.351485,0.371542,0.010091,0.006904,0.032799,0.036383,0.021248,0.013470,0.008186,0.008699,0.005183,0.010980,0.016555,0.009044,0.010631,anger
0.073358,0.035077,2.873480,0.124198,0.144112,0.457828,0.002474,0.108697,-25.095315,0.430130,-1.387823,-0.275794,-0.338722,-0.038133,-0.407586,-0.414793,-0.293361,0.088658,0.180081,0.302450,-0.189318,0.005943,0.006503,0.010200,0.005297,0.008435,0.004235,0.006874,0.010684,0.007334,0.011384,0.003726,0.003423,0.008449,0.051330,0.049219,0.358396,0.049308,0.033213,0.454521,0.001578,0.086427,3.792192,1.291941,0.765197,0.466029,0.424577,0.371969,0.344996,0.382963,0.378256,0.463801,0.365741,0.345087,0.275195,0.011129,0.006216,0.014788,0.006876,0.011427,0.007161,0.007838,0.014263,0.007963,0.014945,0.004338,0.004382,0.004946,anger
0.064268,0.011928,2.814082,0.128591,0.142271,0.577609,0.003104,0.107580,-26.324508,0.585848,-0.469561,-0.671956,-0.402620,-0.410051,-0.566050,-0.257442,-0.190614,-0.128584,0.128114,0.023465,-0.122968,0.008006,0.005595,0.012413,0.008428,0.005823,0.005267,0.015153,0.013022,0.018497,0.010724,0.005580,0.007881,0.015693,0.034853,0.016684,0.379782,0.037091,0.028505,0.428215,0.002151,0.066850,2.383202,1.103077,0.932132,0.534246,0.371475,0.529953,0.433961,0.503542,0.571839,0.518470,0.505782,0.495911,0.370503,0.011777,0.008245,0.021154,0.013241,0.010174,0.008139,0.029059,0.020365,0.031827,0.013403,0.008567,0.013669,0.010332,anger
0.053790,0.017220,2.851653,0.110508,0.149813,0.198268,0.003189,0.065124,-25.032900,1.884529,-1.566972,-0.147295,-0.048415,0.142269,-0.244450,-0.554365,-0.150822,-0.476777,-0.177249,-0.104832,0.046562,0.006212,0.006973,0.014379,0.016180,0.020037,0.014827,0.006690,0.011026,0.009116,0.006484,0.007213,0.005008,0.013651,0.038341,0.015490,0.340475,0.041793,0.033606,0.265644,0.002264,0.070148,1.582451,0.677432,0.592182,0.366809,0.250920,0.340611,0.259877,0.247792,0.257306,0.316023,0.300932,0.368191,0.331236,0.006677,0.009606,0.020810,0.018843,0.022471,0.015915,0.007543,0.008452,0.008499,0.005320,0.008309,0.003458,0.006831,anger
0.044616,0.048760,2.919460,0.106287,0.144409,0.246334,0.004177,0.063534,-22.873320,1.197034,-1.357970,-0.296497,-0.228162,-0.298129,-0.507553,-0.776928,-0.341672,-0.139435,0.045628,0.067132,0.274101,0.004248,0.002757,0.010857,0.010875,0.029784,0.015746,0.016576,0.005704,0.006551,0.006593,0.003230,0.010468,0.015883,0.023212,0.032270,0.329318,0.027566,0.034108,0.267678,0.002851,0.034367,1.038045,0.823566,0.504697,0.688340,0.306921,0.467942,0.307941,0.343372,0.483045,0.611769,0.482532,0.351728,0.295454,0.004570,0.004601,0.017838,0.012133,0.033265,0.012203,0.021204,0.007161,0.011165,0.011657,0.004324,0.018569,0.008157,anger
0.041541,0.065165,2.926010,0.095373,0.137944,0.173640,0.004206,0.057545,-22.501471,1.542459,-1.411883,-0.269729,-0.240671,-0.375870,-0.324855,-0.726726,-0.437081,-0.279405,0.147684,0.465179,0.153478,0.003041,0.005043,0.006308,0.014847,0.014491,0.019257,0.018269,0.013455,0.016063,0.006434,0.002726,0.002687,0.015971,0.023485,0.044294,0.368858,0.022390,0.032960,0.159137,0.002598,0.032345,1.161362,0.976322,0.754485,0.549397,0.359593,0.458833,0.440846,0.320620,0.307097,0.420278,0.443227,0.335184,0.332858,0.004207,0.009296,0.011079,0.025679,0.019657,0.022995,0.027780,0.021237,0.020414,0.008940,0.003851,0.002971,0.010421,anger
0.026043,0.035664,2.930199,0.078290,0.134710,0.093065,0.004149,0.034942,-24.564607,2.676211,-0.903231,-0.330264,0.699380,-0.017164,-0.336856,-0.724078,-0.205042,0.128684,-0.110096,0.085180,-0.328191,0.021571,0.008669,0.018573,0.007022,0.010352,0.010856,0.010726,0.015958,0.010412,0.006567,0.007952,0.012603,0.014536,0.005906,0.036350,0.327226,0.024543,0.041318,0.043976,0.001720,0.005785,2.498154,0.700539,0.544612,0.296809,0.484110,0.400886,0.219275,0.313579,0.223891,0.256540,0.185566,0.245464,0.239794,0.020709,0.010073,0.018538,0.008235,0.014883,0.014949,0.010291,0.020950,0.011319,0.007152,0.006908,0.012417,0.006743,anger
