@RELATION models/SVM_german_single
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {anger,hapiness,neutral,sadness}

@DATA
0.199073,0.016058,2.727390,0.293660,0.212910,1.548942,0.005434,0.336012,-28.447371,0.573567,-0.152031,0.026171,-0.307069,0.033700,0.123146,-0.104476,-0.029787,-0.107368,-0.167357,-0.054142,-0.071459,0.046419,0.005996,0.018849,0.005549,0.013535,0.006890,0.009231,0.019254,0.006553,0.007878,0.011875,0.008037,0.021431,0.130871,0.026291,0.554218,0.111369,0.041237,0.656007,0.005192,0.225743,5.019344,1.327575,0.983470,0.618754,0.455966,0.475211,0.436992,0.451006,0.382959,0.366231,0.299679,0.337363,0.261886,0.100769,0.007898,0.033554,0.007468,0.015892,0.013131,0.013306,0.025393,0.009867,0.009418,0.016839,0.009526,0.026476,anger
0.161467,0.010508,2.837832,0.261986,0.218196,1.234767,0.006467,0.270989,-31.147304,1.446933,-0.264391,0.207526,-0.112617,-0.205186,-0.149620,0.170058,-0.392619,-0.099337,-0.270158,0.004720,-0.075420,0.057123,0.005185,0.016814,0.006622,0.035143,0.005220,0.018236,0.022877,0.002741,0.006357,0.013542,0.005171,0.027647,0.119008,0.018963,0.458247,0.111096,0.031843,0.598367,0.006039,0.201631,3.436913,1.076391,0.859908,0.483735,0.444119,0.409910,0.359724,0.373167,0.361015,0.369509,0.315296,0.280055,0.313968,0.073358,0.006477,0.020825,0.007571,0.039830,0.008734,0.028024,0.022610,0.004576,0.010427,0.020730,0.006416,0.021037,anger
0.174494,0.008962,2.747544,0.281378,0.222013,1.367070,0.006893,0.307683,-29.498616,1.049709,0.077969,-0.164001,-0.286522,-0.030556,0.140298,0.007446,0.044568,0.054471,-0.148780,0.023088,-0.198359,0.078371,0.008215,0.011068,0.006154,0.011234,0.004571,0.005501,0.020395,0.004251,0.008634,0.027546,0.011534,0.030351,0.141466,0.016010,0.497874,0.114845,0.029879,0.754332,0.008807,0.237601,3.972957,1.289658,0.910037,0.626422,0.575415,0.371713,0.394253,0.339300,0.313102,0.282119,0.303663,0.281136,0.326027,0.118377,0.016049,0.017894,0.010286,0.014928,0.009433,0.006598,0.027546,0.006837,0.012833,0.035955,0.016763,0.030882,anger
0.162733,0.012727,2.877997,0.257347,0.211707,1.231321,0.006766,0.277323,-28.931896,1.496944,-0.126810,-0.162621,-0.352507,-0.177483,-0.186581,0.118581,-0.199091,-0.090085,-0.272494,0.028361,-0.137227,0.068222,0.009122,0.015465,0.011565,0.024901,0.006663,0.017487,0.016740,0.004064,0.010981,0.015752,0.011328,0.031667,0.142144,0.018341,0.417199,0.112423,0.034728,0.622729,0.005092,0.206566,3.282479,1.034888,0.833539,0.480278,0.476844,0.379427,0.470832,0.391595,0.401280,0.328142,0.355843,0.291233,0.340781,0.112508,0.011273,0.019099,0.024031,0.029197,0.014454,0.027663,0.023672,0.006635,0.016933,0.021613,0.018646,0.031312,anger
0.149892,0.008648,2.836651,0.260478,0.213638,1.072443,0.010361,0.274022,-28.981622,1.557108,0.533709,-0.088983,-0.275836,-0.143273,-0.166592,0.157679,-0.136664,0.084386,-0.187169,0.132165,-0.207967,0.117973,0.006368,0.018060,0.003158,0.020868,0.002962,0.014896,0.027742,0.002041,0.006516,0.020496,0.014348,0.044478,0.160675,0.012661,0.484290,0.133499,0.036619,0.760250,0.016269,0.244754,3.973377,1.353702,0.755516,0.633324,0.422921,0.325692,0.402628,0.381235,0.326938,0.345633,0.292692,0.266831,0.310844,0.196645,0.011732,0.027578,0.006330,0.029662,0.008131,0.028095,0.033711,0.004460,0.009911,0.027960,0.024994,0.050378,anger
0.130408,0.015388,2.722448,0.243964,0.210583,1.081473,0.007573,0.239747,-28.268211,1.571691,-0.306406,-0.082643,-0.105950,-0.114810,0.130683,-0.000407,-0.056228,0.166299,-0.147753,0.017911,-0.185698,0.064086,0.008746,0.009671,0.005901,0.013097,0.006048,0.008512,0.027215,0.008065,0.010940,0.025397,0.013640,0.029172,0.118378,0.022660,0.532627,0.113819,0.039790,0.726714,0.006886,0.225890,4.873090,1.178492,1.104285,0.669552,0.546466,0.406611,0.415367,0.441383,0.292103,0.328727,0.267028,0.298323,0.289174,0.103164,0.019241,0.014068,0.010294,0.020320,0.011146,0.012763,0.035100,0.014070,0.014838,0.032285,0.024981,0.026487,anger
0.155721,0.007054,2.820418,0.265973,0.220096,1.236168,0.007415,0.286229,-28.774270,1.432321,-0.167906,-0.142636,-0.265906,-0.208238,0.088965,-0.114949,-0.141499,-0.114021,-0.321365,-0.113393,-0.268273,0.040254,0.009963,0.024630,0.008408,0.025484,0.004086,0.010291,0.016174,0.005396,0.007929,0.017117,0.011798,0.024619,0.136154,0.012800,0.465152,0.116593,0.038362,0.790265,0.008274,0.244668,3.623512,1.270268,1.148458,0.634802,0.532921,0.431362,0.416439,0.371892,0.395885,0.295884,0.372556,0.346366,0.363001,0.072078,0.016761,0.031436,0.013788,0.034496,0.008518,0.013782,0.021425,0.010453,0.011049,0.025666,0.018856,0.020060,anger
0.151938,0.012172,2.914865,0.258436,0.217257,1.181917,0.006680,0.262455,-28.679272,1.476395,0.216475,-0.335914,-0.297987,-0.286242,-0.348022,0.058701,-0.402393,0.016593,-0.235881,0.168112,-0.121553,0.043621,0.009193,0.015469,0.003110,0.021809,0.005423,0.023007,0.027510,0.003754,0.013172,0.019494,0.011537,0.029595,0.134559,0.021191,0.430916,0.109058,0.033982,0.715134,0.004976,0.217581,4.122844,1.231072,1.009693,0.612879,0.438195,0.397056,0.448900,0.409933,0.474031,0.324546,0.344062,0.384849,0.420855,0.076212,0.020487,0.025919,0.004028,0.030876,0.008777,0.035830,0.034431,0.006935,0.022468,0.028869,0.025006,0.018977,anger
0.141678,0.003745,2.830605,0.272518,0.230251,1.201395,0.009889,0.277325,-32.466804,0.823656,-0.183433,0.053550,-0.291279,0.054024,-0.158719,-0.251254,-0.189357,-0.120782,0.099915,0.097679,0.031317,0.136221,0.005184,0.018607,0.003359,0.011843,0.003698,0.012828,0.020899,0.004188,0.014802,0.010359,0.004965,0.049613,0.128408,0.005474,0.413646,0.098825,0.030564,0.737202,0.012333,0.213101,5.161990,1.351474,0.676173,0.517206,0.511440,0.583569,0.434771,0.407042,0.387293,0.382466,0.404325,0.314794,0.384815,0.215960,0.008750,0.041871,0.004963,0.017871,0.006315,0.019083,0.027010,0.007381,0.027391,0.018557,0.007467,0.056132,anger
0.128317,0.018493,2.879413,0.257267,0.225629,1.187268,0.007716,0.240944,-29.102790,0.855137,-0.353947,-0.066072,-0.399374,-0.351033,-0.358949,-0.047817,-0.094255,0.011470,0.072414,0.120254,-0.107521,0.076907,0.006089,0.012420,0.004995,0.015404,0.005137,0.014152,0.022640,0.002801,0.013641,0.018420,0.017695,0.035701,0.089803,0.030334,0.431985,0.082377,0.036568,0.835571,0.006781,0.190839,5.069847,1.808450,0.806159,0.614748,0.511940,0.413583,0.399131,0.466500,0.475947,0.432414,0.363023,0.340950,0.336983,0.148698,0.009557,0.020137,0.009713,0.027369,0.013078,0.025064,0.034784,0.004784,0.024770,0.030497,0.031977,0.039748,anger
