@RELATION models/SVM_port_single
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {anger,happyness,neutral,sadness}

@DATA
0.052291,0.023263,2.759564,0.095020,0.117036,0.314670,0.002688,0.070983,-24.022704,0.084136,-2.376142,-0.764581,-0.300604,-0.188270,0.311416,-0.138840,0.175074,-0.330838,0.033819,-0.012567,0.134532,0.003054,0.003998,0.004908,0.011465,0.010611,0.006503,0.007475,0.003548,0.003373,0.002844,0.003275,0.002983,0.007415,0.015180,0.024261,0.395241,0.017429,0.025873,0.199350,0.001990,0.027285,1.520020,0.891155,0.421363,0.497201,0.408903,0.405875,0.370331,0.401138,0.344575,0.362340,0.330704,0.254942,0.255887,0.003523,0.004497,0.005637,0.016050,0.013463,0.009069,0.010247,0.002031,0.005172,0.004254,0.003521,0.003851,0.004628,anger
0.048770,0.020925,2.554296,0.108040,0.140861,0.311239,0.002789,0.068016,-26.428873,1.007931,-1.114883,-0.162391,-0.441308,-0.069702,-0.218726,-0.317523,-0.652758,-0.191649,-0.199650,0.181872,0.160804,0.002697,0.007357,0.009205,0.019555,0.018209,0.014396,0.014549,0.008626,0.007689,0.003312,0.002224,0.004259,0.013176,0.014514,0.026957,0.545745,0.022669,0.027888,0.193266,0.001899,0.020346,2.808215,0.730423,0.857941,0.372574,0.413122,0.463733,0.436906,0.281894,0.330192,0.471684,0.346435,0.339262,0.337374,0.002953,0.009413,0.014448,0.025650,0.018359,0.013797,0.018351,0.010983,0.013434,0.003953,0.002726,0.004281,0.009109,anger
0.054310,0.009487,2.447458,0.112540,0.157099,0.294917,0.003987,0.066919,-27.935969,2.045150,-0.802927,-0.402964,0.008100,-0.151090,-0.179019,-0.240035,-0.307859,-0.145516,-0.342508,-0.053143,-0.048564,0.009092,0.010444,0.014331,0.022751,0.034754,0.008197,0.006867,0.007110,0.005594,0.007088,0.013921,0.008206,0.018507,0.044093,0.015307,0.663169,0.049681,0.046385,0.382401,0.002858,0.068161,4.037501,1.137633,0.724440,0.764758,0.458336,0.449484,0.279959,0.270961,0.392713,0.391716,0.271463,0.268413,0.379444,0.011504,0.014772,0.019968,0.042170,0.051328,0.008199,0.006741,0.008176,0.008718,0.009759,0.026140,0.008160,0.015788,anger
0.043211,0.010801,2.600607,0.096703,0.136599,0.177956,0.003051,0.055250,-25.764848,1.590226,-1.558923,-0.493409,-0.390377,-0.487653,0.011870,-0.168412,-0.447019,-0.047603,-0.302730,-0.002033,-0.015407,0.005609,0.014226,0.018883,0.018728,0.014602,0.012721,0.006550,0.007936,0.004249,0.006689,0.007865,0.005870,0.014496,0.020877,0.015623,0.447761,0.026759,0.035243,0.144016,0.001970,0.018907,2.575238,1.122383,0.987169,0.390615,0.446922,0.392950,0.452444,0.353513,0.611658,0.484347,0.413027,0.349372,0.347870,0.005981,0.022618,0.032852,0.029737,0.019202,0.014721,0.006768,0.014306,0.005641,0.008259,0.010180,0.006578,0.010981,anger
0.082995,0.027149,2.829092,0.127464,0.136871,0.531979,0.002117,0.127493,-25.699099,0.781558,-1.284532,-0.294381,-0.386575,-0.001059,-0.331731,-0.303237,-0.293643,-0.007337,0.088672,0.203127,-0.153744,0.004752,0.012846,0.013142,0.006431,0.008546,0.004825,0.004913,0.010942,0.007739,0.008771,0.003268,0.003968,0.009087,0.048676,0.037846,0.320032,0.051040,0.031400,0.452591,0.001288,0.082097,3.488651,1.158222,0.700582,0.424813,0.406292,0.313302,0.303814,0.374997,0.289411,0.404720,0.345057,0.292412,0.221799,0.005547,0.018523,0.018450,0.007218,0.010067,0.004911,0.004499,0.012050,0.008036,0.012075,0.003728,0.004302,0.006050,anger
0.064932,0.011232,2.733145,0.127892,0.139828,0.577269,0.002808,0.106945,-25.957759,0.619443,-0.413227,-0.709397,-0.440174,-0.443012,-0.611195,-0.284813,-0.161084,-0.095770,0.155531,0.027022,-0.141294,0.005179,0.007120,0.012249,0.006873,0.006207,0.008491,0.013994,0.012792,0.016874,0.010283,0.006318,0.007609,0.014993,0.031915,0.014450,0.388179,0.034656,0.025893,0.386854,0.002186,0.063517,2.126681,1.035361,0.910903,0.515355,0.357689,0.575332,0.416818,0.526074,0.562272,0.517822,0.521540,0.491512,0.324311,0.007163,0.011316,0.020999,0.011040,0.010038,0.015430,0.024539,0.020312,0.025500,0.011929,0.009242,0.011386,0.009735,anger
0.062330,0.022935,2.768230,0.114251,0.142476,0.248775,0.003230,0.074001,-23.965702,1.766600,-1.510307,-0.224617,-0.116918,-0.021988,-0.284568,-0.560549,-0.320231,-0.649339,-0.317445,-0.074502,0.154025,0.005335,0.011754,0.013055,0.019066,0.022672,0.008784,0.005761,0.010188,0.003858,0.005380,0.005770,0.003657,0.014366,0.051925,0.018105,0.390113,0.053873,0.033430,0.354717,0.002881,0.096076,1.394755,0.791230,0.616509,0.472651,0.274726,0.376771,0.346212,0.273914,0.309814,0.388126,0.431100,0.480141,0.407450,0.006392,0.014255,0.020136,0.024538,0.032646,0.010705,0.005917,0.013486,0.005746,0.008088,0.007728,0.003806,0.008545,anger
0.048386,0.053620,2.806129,0.100955,0.130696,0.243397,0.003267,0.068563,-22.542423,0.983626,-1.701817,-0.203912,-0.345054,-0.450213,-0.614744,-0.921080,-0.144616,0.068641,0.180411,-0.019261,0.169151,0.002233,0.005226,0.005795,0.012252,0.017340,0.006838,0.011854,0.003902,0.015340,0.010103,0.004178,0.010811,0.014295,0.024472,0.027964,0.235716,0.027198,0.032488,0.262430,0.002329,0.036279,0.831423,0.731216,0.616247,0.627775,0.261867,0.495723,0.303521,0.355254,0.579685,0.650292,0.529657,0.342626,0.328626,0.002713,0.011644,0.010473,0.015486,0.027144,0.007197,0.017241,0.004886,0.023810,0.019543,0.005479,0.017846,0.006967,anger
0.041018,0.064293,2.890940,0.092983,0.133012,0.175377,0.003685,0.058189,-22.143055,1.438816,-1.404363,-0.295292,-0.297143,-0.351955,-0.393186,-0.735885,-0.486064,-0.329544,0.109981,0.464721,0.150900,0.002634,0.005109,0.006500,0.017827,0.017797,0.015255,0.015361,0.014489,0.016712,0.007428,0.001787,0.002026,0.016633,0.020254,0.038388,0.389072,0.022180,0.030997,0.134740,0.002240,0.028192,1.090642,0.917118,0.592997,0.527859,0.357297,0.401038,0.392484,0.283604,0.317329,0.450602,0.462214,0.335778,0.339075,0.004241,0.008071,0.010066,0.028173,0.028115,0.017014,0.020798,0.024501,0.018262,0.009685,0.002046,0.001820,0.010533,anger
0.026416,0.053369,2.912399,0.074799,0.128209,0.081909,0.003913,0.035939,-23.391635,2.503612,-1.143407,-0.377170,0.779998,-0.044253,-0.394127,-0.740687,-0.241034,0.214011,-0.070868,0.198711,-0.315454,0.005114,0.035715,0.029620,0.009240,0.008557,0.018918,0.013870,0.014819,0.012678,0.010794,0.006153,0.014577,0.020633,0.005281,0.043970,0.320373,0.021485,0.039208,0.039700,0.001852,0.005169,2.363011,0.675024,0.599555,0.284554,0.428437,0.360938,0.246955,0.301500,0.227778,0.252512,0.212483,0.266879,0.251536,0.005462,0.047715,0.038253,0.012148,0.014025,0.022547,0.014511,0.019666,0.016477,0.012815,0.005808,0.020905,0.012552,anger
